id;language;extension;author;name;path;circuit;m.Width;m.Depth;m.MaxDens;m.AvgDens;m.NoP-X;m.NoP-Y;m.NoP-Z;m.TNo-P;m.NoH;m.%SpposQ;m.NoOtherSG;m.TNoSQG;m.TNoCSQG;m.NoSWAP;m.NoCNOT;m.%QInCNOT;m.AvgCNOT;m.MaxCNOT;m.NoToff;m.%QInToff;m.AvgToff;m.MaxToff;m.NoGates;m.NoCGates;m.%SGates;m.NoOr;m.NoCOr;m.%QInOr;m.%QInCOr;m.AvgOrD;m.MaxOrD;m.NoM;m.%QM;p.initialization;p.superposition;p.oracle;p.entanglement
fbd78080-88cf-46d3-9a76-d0a7fe7b7425;Python;qiskit;qiskit-community;qiskit-algorithms;Python_qiskit_qiskit-community_qiskit-algorithms_qiskit_algorithms.phase_estimators.ipe.py;"[[""H"", ""H"", ""MEASURE""]]";1.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;False;True;False;False
08e4ca78-6baa-4fb0-8dca-8f6a99cefb1b;Python;qiskit;qiskit-community;qiskit-algorithms;Python_qiskit_qiskit-community_qiskit-algorithms_test.minimum_eigensolvers.test_sampling_vqe.py;"[[""H""]]";1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;True;False;False
87acb642-64ba-4e3b-806b-a000010aa026;Python;qiskit;qiskit-community;qiskit-algorithms;Python_qiskit_qiskit-community_qiskit-algorithms_test.time_evolvers.test_time_evolution_problem.py;"[[""X""]]";1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;False;False;False
a3e71345-67d8-4836-bd07-b363ba727cbf;Python;qiskit;qiskit-community;qiskit-algorithms;Python_qiskit_qiskit-community_qiskit-algorithms_test.test_phase_estimator.py;"[[""T""], []]";2.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
45d398b7-9b6a-475c-8a6e-9d69eee218b4;Python;qiskit;qiskit-community;qiskit-algorithms;Python_qiskit_qiskit-community_qiskit-algorithms_test.time_evolvers.variational.test_var_qite.py;"[[""RZ"", ""RY"", ""RZ""]]";1.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
e1baca94-0a3a-4a82-9338-4c6ef89dc429;Python;qiskit;qiskit-community;qiskit-algorithms;Python_qiskit_qiskit-community_qiskit-algorithms_test.time_evolvers.variational.test_var_qrte.py;"[[""RZ"", ""RY"", ""RZ""]]";1.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
e1baca94-0a3a-4a82-9338-4c6ef89dc429;Python;qiskit;qiskit-community;qiskit-algorithms;Python_qiskit_qiskit-community_qiskit-algorithms_test.time_evolvers.variational.test_var_qrte.py;"[[""RZ"", ""RY"", ""RZ""]]";1.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
cb65d3b8-38f1-4eab-aad3-a5b2c9ded1a1;Python;qiskit;sQUlearn;squlearn;Python_qiskit_sQUlearn_squlearn_tests.util.optree.test_optree_derivative.py;"[[""H""], []]";2.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.5;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
6d5aca9b-e4e6-40f1-94a5-5d5d3cdeceaf;Python;qiskit;sQUlearn;squlearn;Python_qiskit_sQUlearn_squlearn_tests.util.optree.test_optree_evaluate.py;"[[""RX""], []]";2.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
6d5aca9b-e4e6-40f1-94a5-5d5d3cdeceaf;Python;qiskit;sQUlearn;squlearn;Python_qiskit_sQUlearn_squlearn_tests.util.optree.test_optree_evaluate.py;"[[""RY""], []]";2.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
