id,language,extension,author,name,path,hybrid,m.Width,m.Depth,m.MaxDens,m.AvgDens,m.NoP-X,m.NoP-Y,m.NoP-Z,m.TNo-P,m.NoH,m.%SpposQ,m.NoOtherSG,m.TNoSQG,m.TNoCSQG,m.NoSWAP,m.NoCNOT,m.%QInCNOT,m.AvgCNOT,m.MaxCNOT,m.NoToff,m.%QInToff,m.AvgToff,m.MaxToff,m.NoGates,m.NoCGates,m.%SGates,m.NoOr,m.NoCOr,m.%QInOr,m.%QInCOr,m.AvgOrD,m.MaxOrD,m.NoM,m.%QM,p.initialization,p.superposition,p.oracle,p.entanglement
31043634-6a1c-4184-8c2f-88b5388d705b,Python,qiskit,2lambda123,qiskit,Python_qiskit_2lambda123_qiskit_examples.python.teleport.py,True,3.0,5.0,3.0,2.0,1.0,0.0,1.0,2.0,2.0,0.3333333333333333,3.0,7.0,0.0,0.0,2.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,10.0,2.0,0.7,1.0,0.0,0.3333333333333333,0.0,1.0,1.0,3.0,1.0,False,False,True,False
0f4df3ab-06f5-4f6a-9e07-b2bfa209a5aa,Python,qiskit,2lambda123,qiskit,Python_qiskit_2lambda123_qiskit_test.python.transpiler.test_width_pass.py,True,2.0,7.0,2.0,1.1428571428571428,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,6.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,8.0,6.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False
5a1e88ce-e977-410d-a8ed-653a521b4edb,Python,qiskit,2lambda123,qiskit,Python_qiskit_2lambda123_qiskit_test.python.circuit.test_hamiltonian_gate.py,True,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.25,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
4679b73d-e228-43b7-9172-69492868f63f,Python,qiskit,2lambda123,qiskit,Python_qiskit_2lambda123_qiskit_test.python.transpiler.test_crosstalk_adaptive_scheduler.py,True,6.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
daf0afbd-2cc0-4681-b6ca-754205aa2d4c,Python,qiskit,2lambda123,qiskit,Python_qiskit_2lambda123_qiskit_test.randomized.test_synthesis.py,True,2.0,7.0,2.0,1.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.5,2.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,8.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,False,False,True,False
a25d77f1-5715-410f-8e3a-97ea09c23ffe,Python,qiskit,2lambda123,qiskit,Python_qiskit_2lambda123_qiskit_test.python.converters.test_dag_to_dagdependency.py,True,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
a3a06447-f541-47a8-93af-b8605a3c7f0f,Python,qiskit,2lambda123,qiskit,Python_qiskit_2lambda123_qiskit_test.python.transpiler.test_basic_swap.py,True,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
bbd4392f-2c47-48e2-87fb-911831002623,Python,qiskit,2lambda123,qiskit,Python_qiskit_2lambda123_qiskit_test.python.transpiler.test_lookahead_swap.py,True,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
562cd81b-ae00-477e-9067-9e4237c572d8,Python,qiskit,2lambda123,qiskit,Python_qiskit_2lambda123_qiskit_test.python.transpiler.test_dag_fixed_point_pass.py,True,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
88ca0d52-a58c-4723-9e0e-62c5a896ddfa,Python,qiskit,2lambda123,qiskit,Python_qiskit_2lambda123_qiskit_test.python.transpiler.test_noise_adaptive_layout.py,True,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.75,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
