id;language;extension;author;name;creation_date;path;circuit;m.Width;m.Depth;m.MaxDens;m.AvgDens;m.NoP-X;m.NoP-Y;m.NoP-Z;m.TNo-P;m.NoH;m.%SpposQ;m.NoOtherSG;m.TNoSQG;m.TNoCSQG;m.NoSWAP;m.NoCNOT;m.%QInCNOT;m.AvgCNOT;m.MaxCNOT;m.NoToff;m.%QInToff;m.AvgToff;m.MaxToff;m.NoGates;m.NoCGates;m.%SGates;m.NoOr;m.NoCOr;m.%QInOr;m.%QInCOr;m.AvgOrD;m.MaxOrD;m.NoM;m.%QM;p.initialization;p.superposition;p.oracle;p.entanglement
5af87bff-c7b1-4b4b-88a4-7c6fe09da0bd;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/rzx/rzx_zz1.py;"[[{""CONTROL"": 1}, ""_"", ""_"", ""_"", {""CONTROL"": 1}], [""X"", ""RZ"", ""RZ"", ""RZ"", ""X"", ""RZ"", ""RZ"", ""RX"", ""RZ"", ""RX"", ""RZ"", ""RX"", ""RZ""]]";2.0;13.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;11.0;0.0;0.0;2.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;13.0;2.0;0.846;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
5566835a-7327-41d6-b673-af95cf9e1c88;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/nct/template_nct_9d_4.py;"[[""_"", {""CONTROL"": 2}, ""_"", {""CONTROL"": 2}, ""_"", ""_"", {""CONTROL"": 2}], [{""CONTROL"": 2}, ""_"", ""X"", ""_"", {""CONTROL"": 2}, ""X"", ""_"", {""CONTROL"": 2}, ""X""], [""X"", ""X"", {""CONTROL"": 1}, ""X"", ""X"", {""CONTROL"": 1}, ""X"", ""X"", {""CONTROL"": 1}]]";3.0;9.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;1.0;3.0;6.0;0.0;0.0;0.0;0.0;9.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
d8b425ae-5f56-44c5-9dc5-1c079f02bd28;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/nct/template_nct_9d_9.py;"[[{""CONTROL"": 1}, {""CONTROL"": 2}, {""CONTROL"": 2}, ""_"", {""CONTROL"": 1}, {""CONTROL"": 2}, ""_"", {""CONTROL"": 1}, {""CONTROL"": 2}], [{""CONTROL"": 2}, ""_"", ""X"", ""_"", {""CONTROL"": 2}, ""X"", ""_"", {""CONTROL"": 2}, ""X""], [""X"", ""X"", {""CONTROL"": 1}, ""X"", ""X"", {""CONTROL"": 1}, ""X"", ""X"", {""CONTROL"": 1}]]";3.0;9.0;1.0;1.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.667;0.333;1.0;6.0;1.0;2.0;3.0;9.0;7.0;0.222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
babae081-ae39-40e4-baf9-308779e76893;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/clifford/clifford_8_1.py;"[[{""CONTROL"": 1}, ""_"", ""X"", ""S"", ""X""], [""X"", ""H"", {""CONTROL"": 0}, ""_"", {""CONTROL"": 0}, ""H""]]";2.0;6.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;3.0;0.0;0.0;3.0;1.0;1.5;2.0;0.0;0.0;0.0;0.0;6.0;3.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;True
860e6157-b308-456f-bd4d-f0e6e9804f00;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/rzx/rzx_zz3.py;"[[{""CONTROL"": 1}, ""_"", {""CONTROL"": 1}], [""X"", ""RZ"", ""X"", ""RZ"", ""RZ"", ""RX"", ""RZ"", ""RX"", ""RZ"", ""RX"", ""RZ""]]";2.0;11.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;9.0;0.0;0.0;2.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;11.0;2.0;0.818;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
28811397-f2e6-485c-a870-5b4a8268377c;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/synthesis/two_qubit/xx_decompose/weyl.py;"[[""RX"", ""RZ"", ""RZ"", ""RY"", ""RZ"", ""RX"", ""RY""], [""RX"", ""RZ"", ""RZ"", ""RY"", ""RZ"", ""RX"", ""RY""]]";2.0;7.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
73e9e9d2-afa5-40f9-9146-fb0ed7f1a7fc;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/clifford/clifford_3_1.py;"[[""S"", ""S"", ""Z""]]";1.0;3.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
f420be8b-ce1f-46c3-a2e0-ce3bed015b8a;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/nct/template_nct_9c_5.py;"[[""_"", ""_"", {""CONTROL"": 1}, ""_"", {""CONTROL"": 2}, ""_"", ""_"", {""CONTROL"": 2}], [""X"", {""CONTROL"": 2}, ""X"", ""X"", ""_"", ""X"", {""CONTROL"": 2}, ""_"", ""X""], [{""CONTROL"": 1}, ""X"", ""_"", {""CONTROL"": 1}, ""X"", {""CONTROL"": 1}, ""X"", ""X"", {""CONTROL"": 1}]]";3.0;9.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;1.0;3.0;5.0;0.0;0.0;0.0;0.0;9.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
b5a93ad5-4d01-454c-afd9-14b430241900;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/nct/template_nct_6a_3.py;"[[""_"", {""CONTROL"": 2}, ""_"", {""CONTROL"": 2}, {""CONTROL"": 1}, {""CONTROL"": 2}], [{""CONTROL"": 2}, ""X"", {""CONTROL"": 2}, ""X"", {""CONTROL"": 2}, ""X""], [""X"", {""CONTROL"": 1}, ""X"", {""CONTROL"": 1}, ""X"", {""CONTROL"": 1}]]";3.0;6.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.667;0.667;2.0;4.0;1.0;1.333;3.0;6.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
a003e2da-7b05-438d-9100-f5e1fcf3306b;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/rzx/rzx_yz.py;"[[{""CONTROL"": 1}, ""RY"", {""CONTROL"": 1}, ""RX"", ""RX""], [""X"", ""_"", ""X""]]";2.0;5.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;2.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;5.0;2.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
36194384-6b7a-4566-ad2a-58a4fe523e71;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/rzx/rzx_xz.py;"[[""X"", ""_"", ""X"", ""RZ"", ""RX"", ""RZ"", ""RZ"", ""RX"", ""RZ""], [{""CONTROL"": 0}, ""RX"", {""CONTROL"": 0}]]";2.0;9.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;7.0;0.0;0.0;2.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;9.0;2.0;0.778;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
931fff56-369c-4068-be0a-7999729ea1fb;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/rzx/rzx_zz2.py;"[[{""CONTROL"": 1}, {""CONTROL"": 1}], [""X"", ""X"", ""RZ"", ""RX"", ""RZ"", ""RX"", ""RZ"", ""RX"", ""RZ""]]";2.0;9.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;7.0;0.0;0.0;2.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;9.0;2.0;0.778;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
e30b6a6e-9044-47d7-8615-518063edd0cf;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/nct/template_nct_9d_8.py;"[[{""CONTROL"": 1}, {""CONTROL"": 2}, {""CONTROL"": 2}, {""CONTROL"": 2}, ""_"", {""CONTROL"": 2}, {""CONTROL"": 2}, ""_"", {""CONTROL"": 2}], [{""CONTROL"": 2}, ""_"", ""X"", ""_"", {""CONTROL"": 2}, ""X"", ""_"", {""CONTROL"": 2}, ""X""], [""X"", ""X"", {""CONTROL"": 1}, ""X"", ""X"", {""CONTROL"": 1}, ""X"", ""X"", {""CONTROL"": 1}]]";3.0;9.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;1.0;1.667;5.0;4.0;1.0;1.333;3.0;9.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
1d2fa142-8bdd-420e-90a7-4c9a76f405ac;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/nct/template_nct_6c_1.py;"[[{""CONTROL"": 1}, ""_"", {""CONTROL"": 1}, ""_"", {""CONTROL"": 1}, {""CONTROL"": 2}], [{""CONTROL"": 2}, ""X"", {""CONTROL"": 2}, ""X"", {""CONTROL"": 2}, ""X""], [""X"", {""CONTROL"": 1}, ""X"", {""CONTROL"": 1}, ""X"", {""CONTROL"": 1}]]";3.0;6.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.667;0.667;2.0;4.0;1.0;1.333;3.0;6.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
7a299d94-c43e-4c64-a359-15b0bad566f2;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/clifford/clifford_2_2.py;"[[{""CONTROL"": 1}, {""CONTROL"": 1}], [""X"", ""X""]]";2.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
3c5d18d6-2832-4197-94c0-787c585e976c;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/standard_gates/u.py;"[[{""CONTROL"": 1}, ""_"", {""CONTROL"": 1}], [""X"", {""ORACLE"": 1}, ""X"", {""ORACLE"": 1}]]";2.0;4.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;4.0;2.0;0.0;2.0;0.0;0.5;0.0;1.0;1.0;0.0;0.0;False;False;True;False
efc1916e-13de-4c85-bdfe-bb3ae8566eb0;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/nct/template_nct_9c_12.py;"[[{""CONTROL"": 2}, {""CONTROL"": 1}, {""CONTROL"": 1}, {""CONTROL"": 2}, {""CONTROL"": 2}, {""CONTROL"": 2}, {""CONTROL"": 1}, {""CONTROL"": 2}, {""CONTROL"": 2}], [""X"", {""CONTROL"": 2}, ""X"", ""X"", ""_"", ""X"", {""CONTROL"": 2}, ""_"", ""X""], [{""CONTROL"": 1}, ""X"", ""_"", {""CONTROL"": 1}, ""X"", {""CONTROL"": 1}, ""X"", ""X"", {""CONTROL"": 1}]]";3.0;9.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;1.0;2.0;6.0;1.0;2.0;4.0;9.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
7a2ff89a-f325-48fa-b95e-38914103f65d;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/nct/template_nct_7b_1.py;"[[""X"", {""CONTROL"": 1}, ""_"", {""CONTROL"": 1}, {""CONTROL"": 1}, ""X"", {""CONTROL"": 1}], [""_"", ""X"", {""CONTROL"": 2}, {""CONTROL"": 2}, ""X"", ""_"", {""CONTROL"": 2}], [""_"", ""_"", ""X"", ""X"", ""_"", ""_"", ""X""]]";3.0;7.0;1.0;1.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;3.0;1.0;1.0;2.0;2.0;1.0;0.667;2.0;7.0;5.0;0.286;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;False;False;False
a5194d4f-260b-4a81-b6ee-35357ebfad1c;Python;qiskit;Qiskit;qiskit;2017;Qiskit/qiskit/qiskit/circuit/library/templates/clifford/clifford_8_2.py;"[[{""CONTROL"": 1}, ""_"", {""CONTROL"": 1}, ""S"", {""CONTROL"": 1}], [""X"", ""H"", ""X"", ""_"", ""X"", ""S"", ""H""]]";2.0;7.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;4.0;0.0;0.0;3.0;1.0;1.5;3.0;0.0;0.0;0.0;0.0;7.0;3.0;0.571;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
